"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","4","Carbon in living biomass","2000","6008","Occupied Palestinian Territory","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","126","Norway","19",""
"1","Other wooded land","4","Carbon in living biomass","2000","5293394","Northern Mariana Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","101","Yemen","12.21",""
"1","Other wooded land","4","Carbon in living biomass","2000","20","Zambia","104.01",""
"1","Other wooded land","4","Carbon in living biomass","2005","144","Albania","11.6",""
"1","Other wooded land","4","Carbon in living biomass","2005","45","Algeria","5",""
"1","Other wooded land","4","Carbon in living biomass","2000","100","United Arab Emirates","0.102",""
"1","Other wooded land","4","Carbon in living biomass","2000","143","United Kingdom","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","19","United Republic of Tanzania","782",""
"1","Other wooded land","4","Carbon in living biomass","2000","4054","Western Sahara","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","7656243","Aruba","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","182","Bermuda","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","81","Brunei Darussalam","1.23",""
"1","Other wooded land","4","Carbon in living biomass","2005","63","Burkina Faso","206",""
"1","Other wooded land","4","Carbon in living biomass","2005","109","American Samoa","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","7656221","Anguilla","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","215","Argentina","1423",""
"1","Other wooded land","4","Carbon in living biomass","2005","156","Armenia","1.65",""
"1","Other wooded land","4","Carbon in living biomass","2000","29","Swaziland","3.9",""
"1","Other wooded land","4","Carbon in living biomass","2000","643000374","Svalbard and Jan Mayen Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","167","Tajikistan","0.33",""
"1","Other wooded land","4","Carbon in living biomass","2000","128","Sweden","9.4",""
"1","Other wooded land","4","Carbon in living biomass","2000","154","Slovenia","1",""
"1","Other wooded land","4","Carbon in living biomass","2000","85","Singapore","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","74","Sudan","620",""
"1","Other wooded land","4","Carbon in living biomass","2000","28","South Africa","990.8",""
"1","Other wooded land","4","Carbon in living biomass","2000","7665808","Turks and Caicos Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","54","Tunisia","0.5",""
"1","Other wooded land","4","Carbon in living biomass","2000","56","Uganda","14.2",""
"1","Other wooded land","4","Carbon in living biomass","2000","4921972","Tuvalu","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","642354615","Tokelau","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","7655420","Timor-Leste","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","199","Trinidad and Tobago","3.25",""
"1","Other wooded land","4","Carbon in living biomass","2000","121","Tonga","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","67","Guinea-Bissau","1.2",""
"1","Other wooded land","4","Carbon in living biomass","2005","7657948","Holy See","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","174","Guatemala","29.3",""
"1","Other wooded land","4","Carbon in living biomass","2005","643000370","Guernsey","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","189","Guadeloupe","0.012",""
"1","Other wooded land","4","Carbon in living biomass","2005","113","Guam","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","66","Gambia","6.18",""
"1","Other wooded land","4","Carbon in living biomass","2005","7655146","Gibraltar","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","161","Kazakhstan","4.47",""
"1","Other wooded land","4","Carbon in living biomass","2005","73","Kenya","348.1",""
"1","Other wooded land","4","Carbon in living biomass","2005","191","Jamaica","26.15",""
"1","Other wooded land","4","Carbon in living biomass","2005","643000371","Jersey","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","7655849","Isle of Man","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","137","Italy","27.2",""
"1","Other wooded land","4","Carbon in living biomass","2005","149","Hungary","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","127","Iceland","0.931",""
"1","Other wooded land","4","Carbon in living biomass","2005","148","Czech Republic","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","147","Croatia","17.84",""
"1","Other wooded land","4","Carbon in living biomass","2005","110","Cook Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","7","Congo","555",""
"1","Other wooded land","4","Carbon in living biomass","2005","102","China","403.5",""
"1","Other wooded land","4","Carbon in living biomass","2005","65","Chad","221",""
"1","Other wooded land","4","Carbon in living biomass","2005","184","Cayman Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","5","Cameroon","166",""
"1","Other wooded land","4","Carbon in living biomass","2005","209","French Guiana","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","125","Finland","4.305",""
"1","Other wooded land","4","Carbon in living biomass","2005","7653870","Falkland Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","2005","60","Ethiopia","254",""
"1","Other wooded land","4","Carbon in living biomass","2005","159","Estonia","2.126",""
"1","Other wooded land","4","Carbon in living biomass","2005","53","Egypt","0.207",""
"1","Other wooded land","4","Carbon in living biomass","2005","132","Denmark","0.4",""
"1","Other wooded land","4","Carbon in living biomass","2005","105","Democratic People's Republic of Korea","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","148","Czech Republic","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","105","Democratic People's Republic of Korea","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","110","Cook Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","147","Croatia","10.18",""
"1","Other wooded land","4","Carbon in living biomass","1990","60","Ethiopia","254",""
"1","Other wooded land","4","Carbon in living biomass","1990","7653870","Falkland Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","132","Denmark","1",""
"1","Other wooded land","4","Carbon in living biomass","1990","53","Egypt","0.207",""
"1","Other wooded land","4","Carbon in living biomass","1990","63","Burkina Faso","231",""
"1","Other wooded land","4","Carbon in living biomass","1990","5","Cameroon","166",""
"1","Other wooded land","4","Carbon in living biomass","1990","182","Bermuda","0",""
